t,x
28311,885.86
28326,884.14
28341,882.36
28355,884.52
28369,881.39
28384,876.54
28399,875.91
28413,877.43
28428,877.57
28442,872.43
28456,877.07
28472,875.80
28486,875.35
28500,874.76
28515,877.07
28530,876.31
28545,875.73
28559,876.05
28573,887.53
28588,896.90
28603,899.68
28617,906.26
28632,910.44
28646,913.83
28661,913.87
28676,918.16
28690,915.87
28704,915.15
28719,915.36
28734,916.27
28748,915.70
28763,913.53
28777,917.40
28792,917.80
28807,917.60
28821,919.20
28835,921.40
28850,918.55
28865,916.66
28879,916.25
28894,904.93
28908,896.70
28922,886.03
28938,886.77
28952,881.58
28966,880.43
28981,878.32
28996,881.99
29010,881.00
29025,876.25
29039,874.93
29053,874.20
29069,873.65
29083,870.74
29097,874.80
29112,873.10
29127,870.83
29142,870.12
29156,874.84
29170,877.13
29185,873.85
29200,876.64
29214,886.98
29229,894.98
29243,895.99
29258,904.24
29273,905.43
29287,907.82
29301,910.87
29316,915.65
29331,915.24
29345,914.68
29360,915.01
29374,914.51
29388,916.38
29404,912.03
29418,916.28
29432,915.96
29447,915.97
29462,914.73
29476,916.79
29491,918.10
29505,916.32
29519,916.99
29535,906.99
29549,900.75
29563,890.06
29578,889.04
29593,886.78
29607,884.09
29622,880.07
29636,882.05
29650,880.79
29666,875.09
29680,876.07
29694,875.80
29709,875.35
29724,872.51
29739,876.13
29753,874.85
29767,873.64
29782,873.98
29797,874.23
29811,874.18
29826,870.63
29840,872.22
29854,871.42
29870,883.56
29884,889.17
29898,898.88
29913,902.66
29928,905.99
29942,908.75
29957,913.06
29971,913.54
29985,912.41
30001,916.31
30015,916.48
30029,916.86
30044,915.39
30059,917.30
30073,916.22
30088,915.92
30102,914.69
30116,919.77
30132,917.32
30146,915.74
30160,916.31
30175,905.23
30190,897.17
30204,885.88
30219,884.16
30233,882.87
30247,879.90
30263,880.68
30277,883.51
30291,881.63
30306,877.97
30320,879.98
30336,877.98
30350,876.74
30364,874.80
30379,877.10
30394,874.08
30408,871.81
30423,870.11
30437,876.33
30451,875.50
30467,873.87
30481,873.15
30495,884.12
30510,893.34
30525,896.00
30539,904.75
30554,908.81
30568,910.86
30582,911.90
30598,916.92
30612,917.44
30626,917.08
30641,919.31
30656,919.23
30670,918.67
30685,915.26
30699,918.44
30713,917.33
30729,916.25
30743,916.19
30757,918.39
30772,919.29
30786,917.72
30801,918.79
30816,908.84
30830,902.63
30844,893.47
30860,892.61
30874,887.95
30888,882.97
30903,881.72
30917,884.04
30932,882.03
30947,880.52
30961,880.89
30976,877.42
30991,876.31
31005,873.49
31020,876.11
31034,876.09
31048,876.06
31064,877.05
31078,878.04
31092,874.78
31107,872.33
31122,876.50
31136,886.12
31151,894.09
31165,898.57
31179,904.68
31195,905.76
31209,905.32
31223,909.74
31238,914.05
31252,916.04
31267,914.28
31282,915.46
31296,916.85
31310,917.38
31326,914.54
31340,918.65
31354,916.74
31369,918.06
31383,916.29
31398,918.72
31413,917.79
31427,914.84
31441,918.13
31457,906.10
31471,897.57
31485,886.43
31500,884.32
31514,879.74
31529,877.56
31544,877.67
31558,879.25
31572,876.19
31588,872.14
31602,875.61
31617,877.20
31631,877.65
31645,874.99
31661,878.74
31675,874.81
31689,874.36
31704,873.77
31718,876.82
31733,876.12
31748,873.34
31762,874.50
31776,872.38
31792,885.03
31806,888.53
31820,899.39
31835,901.80
31849,903.85
31864,906.88
31879,911.16
31893,912.12
31907,911.09
31923,914.57
31937,914.68
31951,915.26
31966,912.69
31980,917.52
31995,918.89
32010,918.67
32024,918.25
32038,918.44
32054,918.33
32068,916.75
32082,916.56
32097,904.92
32111,895.69
32126,886.02
32141,884.51
32155,883.13
32169,881.10
32184,880.58
32199,880.93
32214,879.20
32228,875.40
32242,876.55
32258,877.91
32272,876.18
32286,873.39
32301,876.29
32315,873.97
32330,872.73
32345,871.54
32359,874.66
32373,874.74
32389,872.56
32403,875.67
32417,884.00
32432,894.00
32446,898.50
32461,906.38
32476,909.78
32490,911.09
32504,911.31
32520,909.74
32534,911.30
32548,910.23
32563,912.92
32577,915.19
32592,914.39
32607,912.54
32621,914.91
32635,914.43
32650,913.57
32665,915.68
32679,918.26
32694,915.70
32708,914.52
32723,915.64
32738,905.73
32752,897.55
32766,889.16
32781,888.62
32796,884.47
32811,881.35
32825,878.76
32839,879.82
32855,875.37
32869,871.52
32883,875.39
32898,874.05
32912,874.53
32927,870.15
32942,872.36
32956,871.02
32970,869.77
32986,872.07
33000,875.56
33014,877.67
33029,876.00
33043,878.75
33058,889.56
33073,896.67
33087,897.00
33101,904.00
33116,905.25
33131,908.69
33145,911.02
33160,914.26
33174,914.45
33189,912.59
33204,916.19
33218,915.39
33232,916.54
33247,915.41
33262,918.06
33276,916.29
33291,914.97
33305,916.98
33320,917.73
33335,916.05
33349,912.54
33363,915.15
33378,903.86
33393,897.65
33408,886.74
33422,886.55
33436,882.66
33452,882.25
33466,879.19
33480,878.89
33495,875.17
33509,871.38
33524,873.03
33539,873.77
33553,876.83
33567,872.62
33582,877.22
33597,875.41
33611,872.81
33626,873.61
33640,876.71
33655,876.03
33670,873.02
33684,875.27
33698,875.70
33713,887.02
33728,890.02
33742,900.01
33757,903.26
33771,906.70
33786,909.02
33801,912.27
33815,911.95
33829,909.46
33844,914.60
33859,915.70
33873,914.27
33888,910.70
33902,915.78
33917,916.33
33932,911.00
33946,910.50
33960,913.13
33975,913.34
33990,913.26
34004,915.19
34019,903.65
34033,896.73
34048,888.30
34063,887.23
34077,883.42
34092,882.31
34106,880.24
34121,880.18
34136,876.13
34150,872.60
34164,873.20
34179,874.15
34194,875.36
34208,874.27
34223,877.20
34237,873.65
34252,871.74
34267,870.80
34281,875.35
34295,875.77
34310,872.32
34325,874.49
34339,886.12
34354,894.59
34368,898.69
34383,907.77
34398,909.08
34412,912.56
34426,912.17
34441,914.88
34456,915.41
34470,913.31
34485,914.48
34499,916.11
34513,917.08
34529,915.06
34543,916.80
34557,914.85
34572,916.64
34587,917.48
34601,920.36
34616,920.77
34630,916.33
34644,917.74
34660,907.81
34674,900.61
34689,890.45
34703,888.34
34718,884.51
34733,880.63
34747,878.72
34761,879.29
34776,878.47
34791,874.85
34805,876.39
34820,876.29
34834,875.72
34849,874.29
34864,877.72
34878,873.79
34892,871.59
34907,872.69
34922,875.27
34936,874.95
34951,874.21
34965,876.41
34979,886.56
34995,893.92
35009,895.69
35023,904.02
35038,907.51
35053,908.38
35067,911.79
35082,914.84
35096,913.63
35110,912.47
35126,913.85
35140,915.14
35154,914.11
35169,911.58
35184,917.43
35198,915.33
35213,915.24
35227,915.18
35241,917.14
35257,916.10
35271,914.08
35286,916.56
35300,905.42
35315,896.81
35330,886.86
35344,883.15
35358,879.86
35373,877.39
35388,876.30
35402,878.22
35417,874.42
35431,869.31
35445,871.48
35461,871.36
35475,872.27
35489,870.45
35504,872.34
35519,871.01
35533,871.50
35548,869.88
35562,871.41
35576,872.06
35592,869.79
35606,872.34
35620,871.51
35635,882.63
35650,889.22
35664,897.67
35679,903.50
35693,904.63
35707,906.47
35723,912.35
35737,912.76
35751,912.82
35766,916.87
35781,916.40
35795,918.55
35810,917.16
35824,921.37
35838,918.28
35854,918.21
35868,917.41
35883,919.81
35897,918.85
35911,914.14
35927,916.11
35941,905.83
35955,897.12
35970,886.84
35985,885.63
35999,881.47
36014,880.85
36028,878.89
36042,879.17
36058,878.63
36072,873.47
36086,876.35
36101,876.01
36116,875.76
36130,872.07
36145,874.30
36159,872.23
36173,871.92
36189,870.19
36203,874.39
36217,873.79
36232,870.10
36247,871.82
36261,881.37
36276,891.77
36290,894.83
36304,901.87
36320,904.16
36334,907.12
36348,908.84
36363,912.63
36377,912.22
36392,910.17
36407,912.12
36421,912.59
36435,912.44
36451,911.58
36465,914.44
36480,913.33
36494,912.00
36508,913.25
36524,915.94
36538,915.20
36552,912.65
36567,917.24
36582,906.18
36596,899.88
36611,888.41
36625,889.06
36639,886.54
36655,885.41
36669,884.06
36683,883.29
36698,881.47
36713,876.10
36727,877.83
36742,876.87
36756,875.15
36770,872.11
36786,875.09
36800,873.81
36814,874.86
36829,873.90
36843,875.42
36858,871.82
36873,868.86
36887,870.15
36901,880.11
36917,890.33
36931,893.50
36945,903.62
36960,904.22
36974,905.66
36989,906.75
37004,911.06
37018,913.30
37032,911.47
37048,915.60
37062,913.45
37076,913.34
37091,912.75
37105,917.07
37121,916.55
37135,917.91
37149,917.43
37164,918.83
37179,918.37
37193,914.53
37208,915.15
37222,904.36
37236,897.02
37252,889.51
37266,886.89
37280,883.41
37295,881.56
37309,881.42
37324,881.32
37339,877.99
37353,873.49
37367,876.37
37383,876.03
37397,875.77
37411,872.08
37426,874.31
37440,871.98
37455,873.99
37470,874.49
37484,876.87
37498,874.90
37514,872.93
37528,875.19
37542,875.40
37557,887.55
37571,891.41
37586,899.81
37601,901.86
37615,903.89
37629,906.42
37645,911.06
37659,911.30
37673,909.47
37688,911.61
37702,913.20
37718,912.40
37732,910.55
37746,915.91
37761,914.19
37775,913.64
37790,912.23
37805,915.17
37819,915.88
37833,914.41
37849,916.81
37863,904.61
37877,896.20
37892,886.40
37906,884.80
37921,880.35
37936,878.26
37950,877.20
37964,875.90
37980,873.17
37994,868.38
38008,870.79
38023,870.59
38037,872.19
38052,869.89
38067,873.67
38081,874.25
38095,873.69
38111,872.02
38125,874.76
38139,873.07
38154,870.55
38168,870.92
38
