t,x
6170,909.64
6183,912.73
6197,914.80
6210,918.10
6223,921.07
6238,921.30
6251,920.98
6264,922.98
6278,924.99
6291,924.24
6305,928.93
6319,926.45
6332,925.09
6345,929.56
6359,927.42
6373,924.32
6386,927.74
6400,924.80
6413,923.10
6426,925.08
6440,923.31
6454,922.23
6467,913.42
6480,903.32
6495,897.99
6508,897.24
6521,891.93
6535,886.20
6548,886.65
6562,885.49
6576,885.11
6589,885.59
6602,882.19
6616,879.64
6630,878.48
6643,877.61
6657,878.46
6670,880.34
6683,880.51
6697,879.38
6711,877.79
6724,880.59
6737,881.44
6751,880.83
6765,882.37
6778,880.53
6792,876.90
6805,891.17
6818,901.63
6833,904.47
6846,912.60
6859,916.95
6873,914.71
6886,918.79
6900,921.59
6914,919.44
6927,923.08
6940,923.06
6953,920.05
6968,923.78
6981,923.09
6994,921.07
7008,924.30
7021,922.22
7035,921.92
7049,923.69
7062,922.52
7075,921.89
7089,922.42
7103,911.81
7116,904.61
7130,900.21
7143,895.15
7156,894.12
7171,890.84
7184,888.38
7197,885.28
7211,883.21
7224,883.91
7238,884.93
7251,885.70
7265,886.52
7278,887.89
7291,887.92
7306,888.94
7319,887.45
7332,884.84
7346,888.63
7360,887.72
7373,884.29
7387,888.47
7400,886.35
7413,882.26
7428,895.20
7441,901.90
7454,905.92
7468,912.94
7481,916.21
7495,915.41
7508,919.80
7522,919.85
7535,919.89
7548,924.42
7563,925.06
7576,924.05
7589,927.04
7603,926.78
7616,926.58
7630,926.69
7644,925.02
7657,925.01
7670,926.26
7684,927.19
7698,925.65
7711,923.98
7725,924.99
7738,924.24
7751,914.18
7766,906.89
7779,901.66
7792,898.00
7805,895.25
7819,893.44
7833,890.33
7846,890.75
7860,889.56
7873,886.92
7886,889.19
7901,888.14
7914,886.11
7927,890.83
7941,891.12
7954,886.84
7968,889.88
7982,888.16
7995,884.62
8008,887.72
8022,886.04
8036,883.28
8049,886.46
8062,892.59
8076,899.70
8089,909.27
8103,910.95
8117,914.97
8130,920.97
8143,923.48
8157,924.86
8171,926.90
8184,926.92
8198,927.19
8211,926.89
8225,925.67
8239,924.25
8252,924.69
8265,925.27
8279,925.45
8293,925.59
8306,927.19
8320,928.39
8333,925.79
8346,927.10
8360,927.82
8374,927.12
8387,919.09
8400,909.82
8414,901.86
8428,900.15
8441,894.36
8455,891.02
8468,893.26
8481,889.95
8496,885.46
8509,886.60
8522,884.70
8536,880.52
8549,884.64
8563,883.98
8577,881.99
8590,885.74
8603,884.30
8616,882.73
8631,885.05
8644,883.03
8657,884.53
8671,885.89
8684,884.67
8698,884.75
8712,887.56
8725,896.42
8738,902.82
8752,909.11
8766,914.33
8779,916.50
8793,918.38
8806,921.53
8819,924.15
8834,924.61
8847,926.71
8860,926.28
8873,926.96
8887,928.72
8901,927.29
8914,923.72
8928,927.29
8941,924.97
8954,923.72
8969,925.54
8982,925.16
8995,923.37
9009,927.53
9022,921.14
9036,909.61
9050,904.71
9063,899.03
9076,892.02
9091,891.77
9104,890.08
9117,884.06
9131,887.29
9144,884.22
9158,880.91
9171,882.94
9185,881.20
9198,880.65
9211,882.99
9226,881.99
9239,881.74
9252,880.81
9266,879.86
9279,879.14
9293,880.11
9307,878.83
9320,879.62
9333,881.47
9347,891.35
9361,901.51
9374,905.88
9388,911.66
9401,914.75
9414,918.56
9428,920.92
9442,921.44
9455,920.58
9468,923.19
9482,923.14
9496,920.35
9509,922.77
9523,923.57
9536,920.93
9549,925.70
9564,925.27
9577,924.21
9590,926.90
9604,924.68
9617,921.76
9631,923.82
9645,923.61
9658,923.21
9671,915.66
9684,904.99
9699,896.75
9712,895.31
9725,889.98
9739,885.49
9752,885.61
9766,885.96
9780,885.72
9793,885.29
9806,882.47
9820,881.60
9834,880.70
9847,878.53
9861,877.14
9874,877.86
9887,879.39
9902,878.55
9915,879.41
9928,878.06
9942,878.04
9956,880.53
9969,882.90
9982,884.17
9996,893.63
10009,903.22
10024,907.92
10039,909.69
10053,915.52
10067,916.14
10082,919.10
10097,916.83
10112,921.37
10126,921.28
10140,920.71
10156,921.28
10170,924.21
10184,924.91
10199,923.93
10213,926.95
10228,927.71
10243,926.53
10257,924.40
10271,927.30
10286,926.73
10301,928.04
10315,918.28
10330,912.21
10344,904.16
10359,896.37
10374,895.28
10388,892.21
10402,890.16
10417,884.62
10432,886.71
10446,883.28
10461,883.46
10475,882.35
10490,884.26
10505,885.70
10519,882.02
10533,885.02
10548,882.01
10563,881.51
10577,881.13
10592,883.85
10606,885.14
10621,886.60
10636,883.70
10650,895.78
10664,902.58
10679,905.19
10694,912.39
10708,914.79
10723,916.59
10737,917.70
10752,921.77
10767,922.83
10781,925.12
10796,926.84
10810,928.13
10825,927.85
10840,925.14
10854,927.10
10868,925.83
10883,927.62
10898,926.71
10912,929.54
10927,926.90
10941,924.68
10956,914.26
10971,907.94
10985,900.96
10999,892.47
11014,893.60
11029,891.70
11043,888.53
11058,886.14
11072,886.86
11087,886.39
11102,883.80
11116,884.60
11130,884.70
11145,884.77
11160,880.83
11174,885.62
11189,885.47
11203,886.10
11217,884.83
11233,887.87
11247,885.40
11261,883.80
11276,892.35
11291,901.76
11305,906.82
11320,910.37
11334,912.53
11348,916.14
11364,917.11
11378,917.08
11393,922.56
11407,924.42
11422,923.82
11437,919.86
11451,921.40
11465,923.55
11480,922.16
11495,927.37
11509,927.03
11524,925.27
11538,922.95
11553,925.46
11568,925.60
11582,924.70
11596,916.52
11611,907.89
11626,901.67
11640,893.75
11655,893.06
11669,890.05
11683,887.54
11699,887.40
11713,888.05
11727,886.79
11742,883.34
11757,884.76
11771,886.07
11786,888.30
11800,885.23
11814,889.67
11830,886.75
11844,885.31
11858,884.74
11873,887.05
11888,884.79
11902,884.59
11917,896.19
11931,904.65
11945,910.73
11961,912.80
11975,920.10
11990,919.33
12004,920.74
12019,922.81
12034,926.11
12048,924.33
12062,923.75
12077,923.81
12092,926.11
12106,923.83
12121,921.87
12135,924.15
12149,924.12
12165,925.34
12179,926.25
12193,930.69
12208,930.02
12223,928.26
12237,918.45
12252,908.84
12266,901.63
12280,895.22
12296,893.41
12310,893.31
12324,893.23
12339,889.93
12354,892.94
12368,890.96
12383,886.72
12397,887.29
12411,888.72
12427,889.04
12441,884.78
12455,887.83
12470,886.38
12485,883.28
12499,884.71
12514,887.78
12528,887.34
12542,885.25
12558,884.44
12572,894.58
12587,903.68
12601,905.51
12615,913.14
12631,916.60
12645,920.95
12659,919.96
12674,923.72
12689,922.04
12703,921.78
12718,922.34
12732,922.75
12746,924.81
12762,921.11
12776,923.83
12790,923.62
12805,924.22
12820,922.66
12834,926.00
12849,925.25
12863,924.44
12877,914.83
12893,908.87
12907,901.40
12921,893.55
12936,893.66
12951,891.75
12965,889.06
12980,887.80
12994,890.35
13008,886.76
13024,883.32
13038,882.74
13052,883.31
13067,883.73
13081,879.30
13096,884.47
13111,881.85
13125,880.39
13139,881.04
13155,883.28
13169,884.71
13184,883.28
13198,893.71
13212,901.03
13228,905.28
13242,905.71
13256,914.28
13271,916.21
13286,919.16
13300,921.87
13315,924.90
13329,924.18
13343,923.38
13359,925.54
13373,923.90
13387,922.68
13402,919.26
13417,922.19
13431,920.89
13446,921.17
13460,920.88
13474,923.66
13490,923.74
13504,921.56
13518,910.92
13533,904.19
13547,898.39
13562,892.04
13577,889.28
13591,886.46
13605,885.85
13621,886.13
13635,887.60
13649,885.20
13664,881.15
13678,882.11
13693,883.33
13708,884.50
13722,879.38
13736,882.78
13752,881.09
13766,878.31
13780,878.74
13795,883.05
13809,883.54
13825,882.40
13839,897.05
13853,906.29
13868,911.97
13883,913.48
13897,919.61
13912,922.21
13926,924.90
13940,926.18
13956,930.38
13970,929.04
13984,928.03
13999,932.27
14013,932.45
14028,932.59
14043,928.19
14057,932.64
14071,932.48
14087,933.86
14101,933.40
14115,935.55
14130,935.91
14144,933.43
14159,924.07
14174,913.81
14188,907.10
14202,899.08
